PrimaryBus,SecondaryBus,LoadNames,Load_kW,PVNames,PV_kW
L2860504.1,SX2860504A,293667A0a;293667A0b,3.47942609786987;1.84057390213013,,
L2766750.3,SX2766750C,293424C0a;293424C0b,9.89324070215225;5.36675929784775,PV_1141,15.26
L2879077.2,SX2879077B,337709B0a;337709B0b,3.30592166900635;2.53407833099365,,
L3159037.2,SX3159037B,323391B0a;323391B0b,13.0537015628815;1.53629843711853,,
L3160793.3,SX3160793C,2147899C0a;2147899C0b,0.972456991672516;5.12754300832748,,
L3233412.1,SX3233412A,226308717A0a;226308717A0b,14.4700167024136;3.26998329758644,PV_1111,17.74
L2841620.2,SX2841620B,2147018B0a;2147018B0b,5.24308498382568;0.596915016174316,,
L3253995.3,SX3253995C,21396815C0a;21396815C0b,0.052135294675827;6.04786470532417,,
L2936279.3,SX2936279C,247184C0a;247184C0b,1.91365693330765;8.25634306669235,PV_1093,10.17
L2804277.3,SX2804277C,339043C0a;339043C0b,5.94770822882652;4.22229177117348,,
L2860489.1,SX2860489A,302405A0a;302405A0b,5.17799458026886;0.14200541973114,,
L2690868.3,SX2690868C,227917127C0a;227917127C0b,11.7544155299664;8.58558447003364,,
L3176661.3,SX3176661C,356788C0a;356788C0b,3.88153597831726;0.188464021682739,,
L2766746.3,SX2766746C,321886C0a;321886C0b,2.32032015502453;7.84967984497547,,
L3189189.2,SX3189189B,293657B0a;293657B0b,4.12691477775574;1.71308522224426,,
L3048196.2,SX3048196B,138237B0a;138237B0b,2.30339207649231;3.53660792350769,,
L2879074.1,SX2879074A,310560A0a;310560A0b,4.34183719158173;0.978162808418274,,
L3067478.1,SX3067478A,260598A0a;260598A0b,1.332736068964;11.967263931036,PV_1097,13.3
L2766726.2,SX2766726B,302373B0a;302373B0b,1.15133367538452;4.68866632461548,,
L2936271.1,SX2936271A,260476A0a;260476A0b,3.24633306264877;2.07366693735123,,
L2917328.2,SX2917328B,21389092B0a;21389092B0b,1.49992830514908;8.23007169485092,,
L3160103.3,SX3160103C,356063C0a;356063C0b,5.28433320522308;0.815666794776917,,
L3448661.2,SX3448661B,2223878647B0a;2223878647B0b,1.52493709564209;4.31506290435791,,
L2991901.2,SX2991901B,354851B0a;354851B0b,7.11148755252361;2.61851244747639,,
L2860499.2,SX2860499B,338997B0a;338997B0b,9.84910185337067;9.60089814662933,,
L2726975.2,SX2726975B,226193422B0a;226193422B0b,2.49138042926788;3.34861957073212,,
L2673300.2,SX2673300B,391745B0a;391745B0b,0.238504590988159;9.49149540901184,,
L2730107.3,SX2730107C,251855C0a;251855C0b,2.60943734228611;7.56056265771389,,
L2916619.2,SX2916619B,339006B0a;339006B0b,3.17869097709656;6.55130902290344,,
L2710525.3,SX2710525C,355437C0a;355437C0b,2.66979218423367;7.50020781576633,,
L2804260.2,SX2804260B,391752B0a;391752B0b,3.53826717674732;6.19173282325268,,
L3197631.1,SX3197631A,338920A0a;338920A0b,1.10256587266922;4.21743412733078,,
L2973153.1,SX2973153A,338925A0a;338925A0b,0.622233800888062;4.69776619911194,,
L3122813.1,SX3122813A,138685A0a;138685A0b,2.29734759092331;3.02265240907669,,
L2935567.2,SX2935567B,338992B0a;338992B0b,3.88580110549927;1.95419889450073,,
L2917336.3,SX2917336C,260513C0a;260513C0b,2.43954864144325;3.66045135855675,,
L2954350.3,SX2954350C,302809C0a;302809C0b,4.3598389685154;1.7401610314846,PV_1133,6.1
L3234185.2,SX3234185B,323388B0a;323388B0b,8.99961506724358;0.730384932756424,,
L3160107.1,SX3160107A,138265A0a;138265A0b,5.42583449840546;3.44416550159454,,
L3141401.1,SX3141401A,338970A0a;338970A0b,4.80758067131042;4.06241932868957,,
L2972704.3,SX2972704C,228445756C0a;228445756C0b,0.921807318925858;5.17819268107414,,
L3197644.1,SX3197644A,138771A0a;138771A0b,0.574874138832092;4.74512586116791,,
L2897805.1,SX2897805A,21471907A0a;21471907A0b,1.27877456068993;7.59122543931007,,
L2766499.3,SX2766499C,2212168880C0a;2212168880C0b,16.7552717900276;3.58472820997238,,
L3104132.1,SX3104132A,302469A0a;302469A0b,2.80031846523285;2.51968153476715,PV_1101,5.32
L2989564.2,SX2989564B,323286B0a;323286B0b,2.46084169864655;3.37915830135345,,
L2991923.1,SX2991923A,302735A0a;302735A0b,8.03422434389591;0.835775656104088,,
L3217053.3,SX3217053C,260529C0a;260529C0b,3.42973953008652;0.640260469913483,,
L3216345.2,SX3216345B,338933B0a;338933B0b,7.10881009936333;7.48118990063667,,
L2766721.1,SX2766721A,247059A0a;247059A0b,8.80876093804836;6.12390619516372E-02,PV_1039,8.87
L3119793.2,SX3119793B,226024307B0a;226024307B0b,2.9974032831192;2.8425967168808,,
L2821010.1,SX2821010A,294788A0a;294788A0b,8.39304335713387;4.90695664286613,,
L3104118.3,SX3104118C,321890C0a;321890C0b,12.3913606786728;2.86863932132721,,
L3160101.1,SX3160101A,337678A0a;337678A0b,2.13256279408932;6.73743720591068,,
L2692633.3,SX2692633C,328364C0a;328364C0b,9.54284574866295;0.627154251337052,,
L2691950.3,SX2691950C,138374C0a;138374C0b,1.3819062012434;8.7880937987566,,
L3160108.2,SX3160108B,355603B0a;355603B0b,5.0281230455637;9.5618769544363,,
L2822873.2,SX2822873B,338999B0a;338999B0b,3.07716253876686;0.812837461233139,,
L3048887.2,SX3048887B,260586B0a;260586B0b,12.532754740119;2.05724525988102,,
L3254227.2,SX3254227B,338995B0a;338995B0b,1.13142962276936;2.75857037723064,,
L2992624.1,SX2992624A,260484A0a;260484A0b,1.18332342863083;4.13667657136917,,
L3226771.1,SX3226771A,227100746A0a;227100746A0b,3.09418815851212;2.22581184148788,,
L3086002.3,SX3086002C,356794C0a;356794C0b,6.32172627389431;3.84827372610569,,
L3045895.3,SX3045895C,351020C0a;351020C0b,7.63971875488758;2.53028124511242,PV_1005,10.17
L2973160.2,SX2973160B,338935B0a;338935B0b,1.35087900161743;4.48912099838257,,
L2764403.1,SX2764403A,226193078A0a;226193078A0b,2.40544884622097;6.46455115377903,,
L3122812.2,SX3122812B,21031694B0a;21031694B0b,4.85382362008095;9.73617637991905,,
L3176660.2,SX3176660B,226193892B0a;226193892B0b,3.55102794647217;2.28897205352783,,
L2991943.3,SX2991943C,21399619C0a;21399619C0b,6.52840975284576;3.64159024715424,PV_1077,10.17
L2691941.3,SX2691941C,321887C0a;321887C0b,10.0585757696629;0.111424230337143,,
L2983432.1,SX2983432A,225534325A0a;225534325A0b,0.500402297377586;8.36959770262241,,
L3215549.2,SX3215549B,228219458B0a;228219458B0b,8.47905893981457;1.25094106018543,,
L2955077.3,SX2955077C,260543C0a;260543C0b,9.62785753726959;0.542142462730407,PV_1131,10.17
L2973157.1,SX2973157A,337722A0a;337722A0b,0.604390434026718;8.26560956597328,,
L2691951.3,SX2691951C,138379C0a;138379C0b,5.53433520913124;4.63566479086876,PV_1175,10.17
L3030199.3,SX3030199C,260480C0a;260480C0b,5.44079144775867;4.72920855224133,,
L2692655.3,SX2692655C,21389307C0a;21389307C0b,4.7614154613018;5.4085845386982,,
L2785546.1,SX2785546A,21399752A0a;21399752A0b,7.90760760962963;0.962392390370369,,
L2935559.1,SX2935559A,21400185A0a;21400185A0b,6.08475117683411;2.78524882316589,,
L2972930.1,SX2972930A,338927A0a;338927A0b,7.86208553910255;1.00791446089745,,
L2822866.2,SX2822866B,338922B0a;338922B0b,1.47147290170193;8.25852709829807,,
L2748781.1,SX2748781A,21382813A0a;21382813A0b,1.82609732747078;11.4739026725292,,
L3645810.3,SX3645810C,2224230651C0a;2224230651C0b,15.612910130024;14.907089869976,,
L2879076.3,SX2879076C,138380C0a;138380C0b,2.61281781375408;1.45718218624592,PV_1181,4.07
L2841616.1,SX2841616A,21031684A0a;21031684A0b,7.04591065466404;1.82408934533596,PV_1137,8.87
L2935554.1,SX2935554A,338921A0a;338921A0b,0.28903911113739;3.26096088886261,,
L2879075.1,SX2879075A,337724A0a;337724A0b,1.84144021034241;3.47855978965759,,
L2839305.1,SX2839305A,2150292A0a;2150292A0b,3.32497780323029;1.99502219676971,PV_1055,5.33
L2879753.2,SX2879753B,21249674B0a;21249674B0b,2.52897637367249;7.20102362632752,,
L2748129.1,SX2748129A,138567A0a;138567A0b,0.489392793178558;12.8106072068214,,
L2991906.1,SX2991906A,247060A0a;247060A0b,3.52660758495331;0.023392415046692,,
L2804247.2,SX2804247B,391737B0a;391737B0b,7.86622993946076;1.86377006053925,,
L3195318.2,SX3195318B,226194280B0a;226194280B0b,1.85760882854462;3.98239117145538,,
L3048888.3,SX3048888C,251856C0a;251856C0b,3.22170386314392;2.87829613685608,,
L2935552.3,SX2935552C,274903C0a;274903C0b,4.57763965129852;1.52236034870148,,
L2876797.1,SX2876797A,226193345A0a;226193345A0b,3.40520644187927;1.91479355812073,,
L3085389.2,SX3085389B,391765B0a;391765B0b,9.43400058925152;0.295999410748482,,
L2916603.2,SX2916603B,323403B0a;323403B0b,0.348211216926575;5.49178878307343,,
L2710518.1,SX2710518A,21209868A0a;21209868A0b,2.5981939971447;6.2718060028553,,
L3160896.3,SX3160896C,260573C0a;260573C0b,3.4484604537487;2.6515395462513,,
L2897776.3,SX2897776C,302858C0a;302858C0b,4.02308733165264;6.14691266834736,,
L2913406.2,SX2913406B,225940756B0a;225940756B0b,3.22710608959198;11.362893910408,,
L2991915.2,SX2991915B,392036B0a;392036B0b,7.24873753547668;2.48126246452332,,
L2711224.2,SX2711224B,260500B0a;260500B0b,1.02893800973892;2.86106199026108,,
L2897766.3,SX2897766C,2128007C0a;2128007C0b,6.57361132621765;3.59638867378235,,
L2897775.3,SX2897775C,138342C0a;138342C0b,5.46709477722645;4.70290522277355,,
L3029495.2,SX3029495B,391736B0a;391736B0b,3.74160957813263;2.09839042186737,,
L2911069.2,SX2911069B,225571871B0a;225571871B0b,5.76456552028656;7.54344797134401E-02,,
L3197633.1,SX3197633A,338893A0a;338893A0b,2.23384032070637;6.63615967929363,,
L3066817.1,SX3066817A,21373784A0a;21373784A0b,12.2846792244911;5.45532077550888,,
L2879089.3,SX2879089C,21455388C0a;21455388C0b,14.9291341328621;0.330865867137909,,
L3195315.1,SX3195315A,226193662A0a;226193662A0b,5.73439253807068;3.13560746192932,,
L2785529.3,SX2785529C,355943C0a;355943C0b,2.18290477752686;7.98709522247314,,
L2992656.1,SX2992656A,260627A0a;260627A0b,7.08315331339836;6.21684668660164,,
L2692661.1,SX2692661A,260650A0a;260650A0b,8.66688981890678;0.203110181093216,,
L3160114.1,SX3160114A,339019A0a;339019A0b,1.23737287998199;4.08262712001801,,
L3082992.1,SX3082992A,337728A0a;337728A0b,1.41521752119064;3.90478247880936,PV_1107,5.32
L2710537.2,SX2710537B,391744B0a;391744B0b,2.99451698124409;6.73548301875591,,
L3254238.2,SX3254238B,293487B0a;293487B0b,1.53424587547779;8.19575412452221,,
L2862616.3,SX2862616C,227447984C0a;227447984C0b,14.1650160932541;16.3549839067459,,
L2785526.2,SX2785526B,302374B0a;302374B0b,3.37395503520966;2.46604496479034,,
L2915542.1,SX2915542A,227921427A0a;227921427A0b,9.39513509392738;8.34486490607262,,
L2915542.2,SX2915542B,227921427B0a;227921427B0b,10.5271523296833;8.9228476703167,,
L2915542.3,SX2915542C,227921427C0a;227921427C0b,12.5319616377354;7.80803836226463,,
L3122820.1,SX3122820A,310561A0a;310561A0b,8.49483983457088;0.375160165429115,,
L3029505.3,SX3029505C,338966C0a;338966C0b,1.40164885282516;8.76835114717484,,
L2785522.2,SX2785522B,2127681B0a;2127681B0b,0.331483266949654;9.39851673305035,,
L2710543.3,SX2710543C,21474614C0a;21474614C0b,7.50168083131313;2.66831916868687,PV_1013,10.17
L2917310.2,SX2917310B,260503B0a;260503B0b,5.0076086473465;0.832391352653503,,
L3082993.1,SX3082993A,226159329A0a;226159329A0b,6.57243628799915;2.29756371200085,,
L3729298.1,SX3729298A,2224386617A0a;2224386617A0b,10.5030563950539;2.79694360494614,,
L2990826.1,SX2990826A,337619A0a;337619A0b,8.75177785634994;0.118222143650055,,
L2990826.2,SX2990826B,337619B0a;337619B0b,2.31539063155651;7.41460936844349,,
L2990826.3,SX2990826C,337619C0a;337619C0b,8.99699831843376;1.17300168156624,,
L2897792.1,SX2897792A,338985A0a;338985A0b,4.77832461833954;0.541675381660461,PV_1167,5.32
L2804261.3,SX2804261C,302509C0a;302509C0b,4.71142852306366;1.38857147693634,,
L3189190.1,SX3189190A,227100753A0a;227100753A0b,6.51021597146988;2.35978402853012,,
L2689691.1,SX2689691A,355375A0a;355375A0b,5.64161322593689;3.22838677406311,,
L3195751.1,SX3195751A,293681A0a;293681A0b,5.07743202447891;3.79256797552109,,
L2785517.3,SX2785517C,338957C0a;338957C0b,0.118901807665825;3.95109819233418,,
L2916606.3,SX2916606C,275007C0a;275007C0b,1.32587285041809;4.77412714958191,,
L3254217.3,SX3254217C,21399112C0a;21399112C0b,10.0636422157288;0.106357784271241,,
L2841641.2,SX2841641B,21380156B0a;21380156B0b,2.46399261951447;3.37600738048553,,
L2804256.2,SX2804256B,321840B0a;321840B0b,2.76514065265656;1.12485934734344,,
L3122818.3,SX3122818C,2120183C0a;2120183C0b,2.01823376297951;8.15176623702049,,
L2691953.1,SX2691953A,302732A0a;302732A0b,0.37362966299057;4.94637033700943,,
L2692654.1,SX2692654A,260487A0a;260487A0b,4.15685058116913;1.16314941883087,,
L3235246.2,SX3235246B,323279B0a;323279B0b,2.83913947582245;3.00086052417755,,
L2955078.1,SX2955078A,260542A0a;260542A0b,2.0749521535635;6.7950478464365,,
L3139598.2,SX3139598B,226311345B0a;226311345B0b,10.3377493727207;4.25225062727928,,
L2763812.3,SX2763812C,21459651C0a;21459651C0b,8.81110169887543;21.7088983011246,,
L2767414.3,SX2767414C,351019C0a;351019C0b,2.27037426233292;3.82962573766708,,
L2991918.2,SX2991918B,391749B0a;391749B0b,7.46529901742935;2.26470098257065,,
L3008248.1,SX3008248A,321159A0a;321159A0b,2.52290926218033;2.79709073781967,,
L3160865.1,SX3160865A,260515A0a;260515A0b,1.88027780115604;6.98972219884396,,
L3029510.2,SX3029510B,355606B0a;355606B0b,1.89750738143921;3.94249261856079,,
L2748126.3,SX2748126C,321891C0a;321891C0b,1.03505771577358;9.13494228422642,,
L3216358.1,SX3216358A,21399826A0a;21399826A0b,6.21215672135353;2.65784327864647,,
L2936276.2,SX2936276B,260458B0a;260458B0b,0.501638917326927;3.38836108267307,,
L2729207.3,SX2729207C,2212168874C0a;2212168874C0b,5.94003642439842;14.3999635756016,,
L2897768.3,SX2897768C,337634C0a;337634C0b,0.846251674890518;9.32374832510948,PV_1117,10.17
L2917255.3,SX2917255C,21386065C0a;21386065C0b,3.86513945102692;6.30486054897308,,
L2933120.3,SX2933120C,226192890C0a;226192890C0b,5.0212694144249;10.2387305855751,,
L2684420.2,SX2684420B,225498968B0a;225498968B0b,4.88424967765808;0.955750322341919,,
L2766723.1,SX2766723A,391986A0a;391986A0b,6.00316218495369;2.86683781504631,,
L3104120.2,SX3104120B,138645B0a;138645B0b,3.86900570869446;1.97099429130554,,
L3066813.2,SX3066813B,337693B0a;337693B0b,3.10412349700928;2.73587650299072,,
L2822860.2,SX2822860B,323236B0a;323236B0b,8.92909623861313;0.800903761386872,,
L2933135.1,SX2933135A,226197070A0a;226197070A0b,2.19263503015041;6.67736496984959,,
L3649298.1,SX3649298A,2224237384A0a;2224237384A0b,1.58929108977318;11.7107089102268,,
L3104130.2,SX3104130B,391755B0a;391755B0b,4.31583246171475;5.41416753828526,,
L2785538.1,SX2785538A,338986A0a;338986A0b,8.66767598569393;0.202324014306068,PV_1103,8.87
L3122849.2,SX3122849B,293423B0a;293423B0b,1.736690325737;4.103309674263,,
L2879794.1,SX2879794A,260475A0a;260475A0b,5.93184571266174;7.36815428733826,,
L2879069.1,SX2879069A,338894A0a;338894A0b,3.14614905714989;0.403850942850113,,
L3104113.1,SX3104113A,138560A0a;138560A0b,4.76630929410458;4.10369070589542,,
L2861222.1,SX2861222A,260473A0a;260473A0b,13.1408666014671;0.159133398532868,,
L3141411.3,SX3141411C,21197413C0a;21197413C0b,27.5417051148415;2.97829488515854,,
L3178982.1,SX3178982A,294843A0a;294843A0b,0.804776259064674;8.06522374093533,,
L3029498.3,SX3029498C,247036C0a;247036C0b,0.911813089251518;3.15818691074848,,
L2952013.1,SX2952013A,355843A0a;355843A0b,2.34880735874176;1.20119264125824,,
L2860488.2,SX2860488B,391751B0a;391751B0b,8.83359534621239;0.896404653787613,,
L2691945.3,SX2691945C,302812C0a;302812C0b,5.02613635897636;5.14386364102364,PV_1099,10.17
L3214549.1,SX3214549A,226308731A0a;226308731A0b,1.39958095669746;16.3404190433025,,
L2710536.1,SX2710536A,21396867A0a;21396867A0b,1.39600699067116;7.47399300932884,,
L2804956.1,SX2804956A,356811A0a;356811A0b,4.35739841222763;4.51260158777237,,
L3160105.3,SX3160105C,302811C0a;302811C0b,1.98536936640739;4.11463063359261,,
L3010563.1,SX3010563A,294845A0a;294845A0b,3.44849299669266;1.87150700330734,,
L3649297.1,SX3649297A,2224237380A0a;2224237380A0b,3.58527297973633;9.71472702026367,,
L2823611.1,SX2823611A,21386877A0a;21386877A0b,0.766953251361847;4.55304674863815,,
L2860487.3,SX2860487C,138586C0a;138586C0b,5.91896427869797;0.181035721302033,,
L3197629.2,SX3197629B,247122B0a;247122B0b,5.04927028179169;0.790729718208313,,
L2691943.2,SX2691943B,323400B0a;323400B0b,1.11077757835388;4.72922242164612,,
L2673311.1,SX2673311A,21397029A0a;21397029A0b,6.96576710999012;1.90423289000988,,
L2767343.3,SX2767343C,356791C0a;356791C0b,9.84576767802239;5.41423232197761,,
L2879063.2,SX2879063B,337646B0a;337646B0b,2.24832252442837;7.48167747557163,,
L3254219.3,SX3254219C,138716C0a;138716C0b,1.3092828977108;8.8607171022892,,
L3197653.2,SX3197653B,339004B0a;339004B0b,5.35335190653801;4.37664809346199,,
L3251806.2,SX3251806B,355602B0a;355602B0b,5.83255084991455;7.44915008544922E-03,,
L2673308.2,SX2673308B,337653B0a;337653B0b,10.7676744472981;3.82232555270195,PV_1177,14.59
L3254203.2,SX3254203B,323233B0a;323233B0b,3.32455811977386;2.51544188022614,,
L2814529.1,SX2814529A,2120126A0a;2120126A0b,4.26361986994743;13.4763801300526,PV_1063,17.74
L2814529.2,SX2814529B,2120126B0a;2120126B0b,4.54379167556763;14.9062083244324,,
L2814529.3,SX2814529C,2120126C0a;2120126C0b,8.95473550200462;11.3852644979954,PV_1049,20.34
L2823592.1,SX2823592A,223658A0a;223658A0b,1.21636754393578;0.553632456064224,,
L2766718.3,SX2766718C,138652C0a;138652C0b,4.17881947517395;11.081180524826,,
L2727795.3,SX2727795C,227678342C0a;227678342C0b,3.53745415210724;2.56254584789276,,
L2955055.2,SX2955055B,21249647B0a;21249647B0b,5.72141050159931;4.00858949840069,,
L2766722.2,SX2766722B,337700B0a;337700B0b,1.59903824627399;8.13096175372601,,
L2804957.3,SX2804957C,356790C0a;356790C0b,0.403316596746445;3.66668340325356,,
L3010570.1,SX3010570A,302392A0a;302392A0b,5.15883908510208;0.161160914897919,,
L3649299.1,SX3649299A,2224237391A0a;2224237391A0b,7.09061007857323;1.77938992142677,,
L2766717.3,SX2766717C,138470C0a;138470C0b,2.60895431101322;1.46104568898678,,
L3254870.3,SX3254870C,260581C0a;260581C0b,6.60783014416695;3.56216985583305,,
L2801895.2,SX2801895B,226191951B0a;226191951B0b,4.63282849788666;5.09717150211334,,
L2673320.2,SX2673320B,392037B0a;392037B0b,5.84252444684506;3.88747555315495,,
L3198358.2,SX3198358B,138797B0a;138797B0b,2.38206663906574;12.2079333609343,,
L3064514.3,SX3064514C,251857C0a;251857C0b,0.163874715566635;5.93612528443336,,
L2729429.1,SX2729429A,293644A0a;293644A0b,1.0074391657114;7.8625608342886,,
L2785525.3,SX2785525C,21396606C0a;21396606C0b,2.33285048604012;7.83714951395988,,
L2860492.3,SX2860492C,21395720C0a;21395720C0b,5.14612709879875;0.953872901201248,,
L2973154.1,SX2973154A,338897A0a;338897A0b,4.33837893486023;0.981621065139771,,
L2691973.1,SX2691973A,355935A0a;355935A0b,3.83943138360977;1.48056861639023,,
L3085394.3,SX3085394C,274988C0a;274988C0b,5.31012325286865;0.789876747131347,,
L2897791.2,SX2897791B,323282B0a;323282B0b,14.1910068577528;0.3989931422472,,
L2726983.1,SX2726983A,226109079A0a;226109079A0b,6.85911973118782;6.44088026881218,,
L2711234.2,SX2711234B,207287B0a;207287B0b,1.06192909479141;8.66807090520859,,
L3178980.3,SX3178980C,302510C0a;302510C0b,3.53564311861992;2.56435688138008,,
L3728039.1,SX3728039A,2224387053A0a;2224387053A0b,13.2713130533695;2.86869466304776E-02,,
L2786266.1,SX2786266A,260631A0a;260631A0b,0.60653783082962;4.71346216917038,,
L2954338.2,SX2954338B,355618B0a;355618B0b,3.27008580088615;6.45991419911385,,
L3254869.2,SX3254869B,260575B0a;260575B0b,2.55273636341095;3.28726363658905,,
L3198356.3,SX3198356C,350993C0a;350993C0b,2.9188784122467;3.1811215877533,,
L2730163.3,SX2730163C,260481C0a;260481C0b,9.69150393247604;0.478496067523956,,
L3048965.2,SX3048965B,260641B0a;260641B0b,6.97178743958473;7.61821256041527,PV_1025,14.59
L3010561.1,SX3010561A,337650A0a;337650A0b,4.8489604473114;0.471039552688599,,
L3160102.2,SX3160102B,355780B0a;355780B0b,6.39049438178539;3.33950561821461,,
L3066806.3,SX3066806C,275002C0a;275002C0b,4.28403952717781;1.81596047282219,,
L3216361.2,SX3216361B,21452406B0a;21452406B0b,4.63099990546703;5.09900009453297,,
L2879092.3,SX2879092C,21399326C0a;21399326C0b,8.71479581773281;1.45520418226719,,
L3104117.3,SX3104117C,338964C0a;338964C0b,13.1466049838066;2.11339501619339,,
L2935568.2,SX2935568B,2119958B0a;2119958B0b,5.60759417533875;0.232405824661255,,
L2710530.2,SX2710530B,21381118B0a;21381118B0b,5.45078051567078;0.389219484329224,,
L2841618.1,SX2841618A,337673A0a;337673A0b,1.50847695231438;7.36152304768562,,
L3728043.1,SX3728043A,2224387138A0a;2224387138A0b,4.93371484875679;8.36628515124321,PV_1115,13.3
L2897765.2,SX2897765B,323243B0a;323243B0b,0.594021682739258;5.24597831726074,,
L2804283.1,SX2804283A,138564A0a;138564A0b,7.51748701274395;1.35251298725605,PV_1135,8.87
L3150961.3,SX3150961C,223400157C0a;223400157C0b,12.6719684278965;2.5880315721035,,
L2859391.2,SX2859391B,227989724B0a;227989724B0b,4.26209051907063;5.46790948092938,,
L3254206.2,SX3254206B,355592B0a;355592B0b,3.99206431210041;5.73793568789959,,
L3104122.1,SX3104122A,138565A0a;138565A0b,8.4127882361412;0.457211763858796,,
L3254218.1,SX3254218A,138720A0a;138720A0b,2.89486701369286;5.97513298630714,,
L2804255.2,SX2804255B,338913B0a;338913B0b,8.15217122197151;1.57782877802849,,
L2766748.1,SX2766748A,21470326A0a;21470326A0b,1.4855143737793;3.8344856262207,,
L2691938.2,SX2691938B,355600B0a;355600B0b,2.92630346655846;6.80369653344154,,
L3027671.1,SX3027671A,226308728A0a;226308728A0b,1.65553179979324;11.6444682002068,,
L2860501.2,SX2860501B,323265B0a;323265B0b,8.48739112734795;1.24260887265205,,
L2897764.2,SX2897764B,391750B0a;391750B0b,0.615274083018303;9.1147259169817,,
L3068944.2,SX3068944B,260494B0a;260494B0b,6.16129498064518;8.42870501935482,,
L2897781.1,SX2897781A,138770A0a;138770A0b,1.07414735853672;2.47585264146328,,
L2748132.1,SX2748132A,302637A0a;302637A0b,0.438070690631866;4.88192930936813,,
L2766727.2,SX2766727B,302367B0a;302367B0b,0.323554878234863;5.51644512176514,,
L2954339.2,SX2954339B,391739B0a;391739B0b,8.15184180855751;1.57815819144249,,
L2673316.1,SX2673316A,2120855A0a;2120855A0b,3.35781431496143;0.192185685038567,,
L3649304.1,SX3649304A,2224237713A0a;2224237713A0b,11.2973424315453;2.00265756845474,,
L2710508.2,SX2710508B,323241B0a;323241B0b,3.6222327709198;2.2177672290802,,
L2710520.1,SX2710520A,138679A0a;138679A0b,3.05977079868317;2.26022920131683,,
L3010567.3,SX3010567C,302813C0a;302813C0b,2.96145642399788;3.13854357600212,,
L2876798.2,SX2876798B,226193745B0a;226193745B0b,0.247611595988274;9.48238840401173,,
L3253570.3,SX3253570C,228314460C0a;228314460C0b,0.654206818342209;9.51579318165779,,
L3216350.1,SX3216350A,391977A0a;391977A0b,8.77322799682617;9.67720031738288E-02,,
L2804257.2,SX2804257B,321854B0a;321854B0b,1.35341832637787;4.48658167362213,,
L3048937.3,SX3048937C,356789C0a;356789C0b,5.34781536459923;0.752184635400772,PV_1051,6.1
L2748157.1,SX2748157A,338973A0a;338973A0b,7.52463675737381;5.77536324262619,,
L3008237.3,SX3008237C,226193838C0a;226193838C0b,3.65227233767509;6.51772766232491,,
L3235258.1,SX3235258A,293652A0a;293652A0b,0.864180176258087;4.45581982374191,,
L3235258.2,SX3235258B,293652B0a;293652B0b,0.727046942710876;13.8629530572891,,
L3235258.3,SX3235258C,293652C0a;293652C0b,4.53864516615868;1.56135483384132,,
L2766738.3,SX2766738C,338978C0a;338978C0b,2.1976228094101;7.9723771905899,,
L2691948.2,SX2691948B,337703B0a;337703B0b,2.66001561164856;3.17998438835144,,
L2674052.3,SX2674052C,21393570C0a;21393570C0b,1.36288141608238;4.73711858391762,,
L3160868.2,SX3160868B,20107693B0a;20107693B0b,2.06197486400604;7.66802513599396,,
L3048889.3,SX3048889C,2128464C0a;2128464C0b,8.3408244484663;1.8291755515337,,
L3236004.3,SX3236004C,260572C0a;260572C0b,2.25342886447906;3.84657113552093,,
L3235255.2,SX3235255B,293519B0a;293519B0b,0.469481357932091;1.48051864206791,,
L3067447.1,SX3067447A,21386157A0a;21386157A0b,2.75277542948723;6.11722457051277,,
L2989432.2,SX2989432B,226163575B0a;226163575B0b,0.816354294419289;8.91364570558071,,
L2973164.1,SX2973164A,302514A0a;302514A0b,0.935498124361038;2.61450187563896,,
L3010565.3,SX3010565C,138343C0a;138343C0b,1.90731858491898;2.16268141508102,PV_1011,4.07
L2689678.2,SX2689678B,226192762B0a;226192762B0b,3.84505480527878E-02;1.91154945194721,,
L2748840.2,SX2748840B,157717B0a;157717B0b,1.39889852046967;4.44110147953033,,
L2989566.2,SX2989566B,260602B0a;260602B0b,4.44756553173065;1.39243446826935,,
L3141388.3,SX3141388C,138416C0a;138416C0b,2.00353498935699;2.06646501064301,,
L2673317.1,SX2673317A,21397771A0a;21397771A0b,4.78917249679565;0.530827503204346,PV_1169,5.32
L2822870.3,SX2822870C,21399171C0a;21399171C0b,5.29346327185631;0.806536728143692,,
L2745799.3,SX2745799C,226191779C0a;226191779C0b,6.52684217333794;3.64315782666206,,
L2786274.3,SX2786274C,207291C0a;207291C0b,4.86335722982883;5.30664277017117,PV_1119,10.17
L2897772.1,SX2897772A,302679A0a;302679A0b,1.68043277025223;3.63956722974777,PV_1085,5.32
L2935566.3,SX2935566C,441854C0a;441854C0b,9.03015450417995;1.13984549582005,,
L3091052.1,SX3091052A,228532641A0a;228532641A0b,2.04611963629723;11.2538803637028,,
L3010566.3,SX3010566C,138776C0a;138776C0b,1.57651792168617;4.52348207831383,,
L3104131.1,SX3104131A,302410A0a;302410A0b,1.63805489718914;7.23194510281086,,
L3216336.1,SX3216336A,356010A0a;356010A0b,2.03995583593845;6.83004416406155,,
L2858166.1,SX2858166A,226192994A0a;226192994A0b,2.11319509148598;1.43680490851402,,
L2748128.3,SX2748128C,337629C0a;337629C0b,2.87697454869747;7.29302545130253,,
L2673318.3,SX2673318C,338967C0a;338967C0b,6.75194380223751;3.41805619776249,PV_1059,10.17
